Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['H1', 'CNOT10']
min circuit depth:  2.0
Reward 142.1


Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['H1', 'CNOT10']
min circuit depth:  2.0
Reward 71.05


Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['H1', 'CNOT10']
min circuit depth:  2.0
Reward 71.05


Gates:
qubit 0:  ['X0', 'CNOT10', 'Y0']
qubit 1:  ['H1', 'CNOT10', 'Z1']
min circuit depth:  2.0
Reward 41.879999999999995


Gates:
qubit 0:  ['Z0', 'CNOT10']
qubit 1:  ['Z1', 'H1', 'CNOT10']
min circuit depth:  2.0
Reward 42.906666666666666


Gates:
qubit 0:  ['X0', 'X0', 'CNOT10']
qubit 1:  ['H1', 'X1', 'CNOT10']
min circuit depth:  2.0
Reward 41.879999999999995


Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['H1', 'CNOT10']
min circuit depth:  2.0
Reward 71.05


Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['H1', 'CNOT10']
min circuit depth:  2.0
Reward 71.05


Gates:
qubit 0:  ['Y0', 'X0', 'CNOT10']
qubit 1:  ['Z1', 'Z1', 'H1', 'CNOT10']
min circuit depth:  2.0
Reward 28.835


Gates:
qubit 0:  ['CNOT10', 'Y0', 'Y0', 'CNOT10']
qubit 1:  ['CNOT10', 'H1', 'CNOT10']
min circuit depth:  2.0
Reward 22.085


Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['Z1', 'H1', 'CNOT10']
min circuit depth:  2.0
Reward 43.93333333333334


Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['H1', 'CNOT10']
min circuit depth:  2.0
Reward 71.05


Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['H1', 'CNOT10']
min circuit depth:  2.0
Reward 71.05


Gates:
qubit 0:  ['CNOT10']
qubit 1:  ['H1', 'CNOT10']
min circuit depth:  2.0
Reward 71.05


Gates:
qubit 0:  ['Z0', 'CNOT10']
